TableInfo,[Sal],[Ery],[Cm],[Tmp],[Ofl],[Dox],[Linc],g
123,0.0,0.0,0.0043909842414330165,0.0,0.0,0.0,0.0,0.99
12346,0.0,0.0,0.008781968482866033,0.0,0.0,0.0,0.0,0.97
123,0.0,0.0,0.01317295272429905,0.0,0.0,0.0,0.0,0.94
12346,0.0,0.0,0.017563936965732066,0.0,0.0,0.0,0.0,0.8940000000000001
12346,0.0,0.0,0.021954921207165082,0.0,0.0,0.0,0.0,0.8420000000000001
12346,0.0,0.0,0.0263459054485981,0.0,0.0,0.0,0.0,0.792
123,0.0,0.0,0.030736889690031115,0.0,0.0,0.0,0.0,0.7566666666666667
123,0.0,0.0,0.03512787393146413,0.0,0.0,0.0,0.0,0.7066666666666667
123,0.0,0.0,0.03951885817289715,0.0,0.0,0.0,0.0,0.6566666666666666
15,0.0,0.010277022071018953,0.0,0.0,0.0,0.0,0.0,0.92
12346,0.0,0.0,0.007318307069055027,0.0,0.0,0.0,0.0,0.978
15,0.0,0.020554044142037906,0.0,0.0,0.0,0.0,0.0,0.81
12346,0.0,0.0,0.014636614138110054,0.0,0.0,0.0,0.0,0.922
15,0.0,0.030831066213056858,0.0,0.0,0.0,0.0,0.0,0.7050000000000001
15,0.0,0.04110808828407581,0.0,0.0,0.0,0.0,0.0,0.61
12346,0.0,0.0,0.029273228276220108,0.0,0.0,0.0,0.0,0.7559999999999999
15,0.0,0.051385110355094764,0.0,0.0,0.0,0.0,0.0,0.53
1234,0.0,0.0,0.036591535345275136,0.0,0.0,0.0,0.0,0.6825
137,0.008747175801513357,0.0,0.0,0.0,0.0,0.0,0.0,0.9566666666666668
1,0.01049661096181603,0.0,0.0,0.0,0.0,0.0,0.0,0.93
137,0.017494351603026714,0.0,0.0,0.0,0.0,0.0,0.0,0.8833333333333333
13,0.02099322192363206,0.0,0.0,0.0,0.0,0.0,0.0,0.855
137,0.026241527404540072,0.0,0.0,0.0,0.0,0.0,0.0,0.8099999999999999
1,0.031489832885448085,0.0,0.0,0.0,0.0,0.0,0.0,0.75
13,0.03498870320605343,0.0,0.0,0.0,0.0,0.0,0.0,0.74
13,0.04198644384726412,0.0,0.0,0.0,0.0,0.0,0.0,0.685
13,0.043735879007566786,0.0,0.0,0.0,0.0,0.0,0.0,0.6699999999999999
1,0.052483054809080144,0.0,0.0,0.0,0.0,0.0,0.0,0.59
1,0.0612302306105935,0.0,0.0,0.0,0.0,0.0,0.0,0.53
1,0.06997740641210685,0.0,0.0,0.0,0.0,0.0,0.0,0.49
1,0.07872458221362022,0.0,0.0,0.0,0.0,0.0,0.0,0.44
2,0.0,0.004484518721899179,0.0,0.0,0.0,0.0,0.0,0.98
2,0.0,0.00653992313610297,0.0,0.0,0.0,0.0,0.0,0.96
2,0.0,0.0,0.0,0.011718120625657144,0.0,0.0,0.0,0.86
